직종,성명,선정년도,대표사업장명,지역,주소,대표품목,위도,경도,네이버플레이스
요리,천덕상,2022,훈장골 하남점,경기,경기도 하남시 신평로 162,"양념갈비, 함흥냉면",37.5466957,127.2108727,https://map.naver.com/p/entry/place/36174928
요리,천덕상,2022,훈장골 동탄점,경기,경기도 화성시 동탄장지천2길 27 2층,"양념갈비, 함흥냉면",37.1592742,127.0958747,https://map.naver.com/p/entry/place/1622369130
요리,천덕상,2022,훈장골 화성 마도점,경기,경기도 화성시 만세구 마도면 화성로 803 1동 1~2층,"양념갈비, 함흥냉면",37.2074562,126.7764232,https://map.naver.com/p/entry/place/1251824308
요리,천덕상,2022,훈장골 화성향남점,경기,경기도 화성시 향남읍 행정서로3길 9,"양념갈비, 함흥냉면",37.1313773,126.9164067,https://map.naver.com/p/entry/place/37278426
요리,천덕상,2022,훈장골 봉담점,경기,경기도 화성시 효행구 봉담읍 동화역말길 73-1 훈장골,"양념갈비, 함흥냉면",37.217059,126.967881,https://map.naver.com/p/entry/place/800083084
제과·제빵,김덕규,2019,김덕규베이커리,경남,"경상남도 김해시 구지로 20, KDK빌딩",베이커리,35.2409276,128.8658546,https://map.naver.com/p/entry/place/1887697502
제과·제빵,김덕규,2019,김덕규베이커리 장유부곡점,경남,경상남도 김해시 장유로 270 한양쇼핑센터 1층 106호),베이커리,35.2008204,128.8119303,https://map.naver.com/p/entry/place/1424608147
제과·제빵,김덕규,2019,김덕규베이커리 롯데프리미엄아울렛 김해점,경남,"경상남도 김해시 장유로 469, 김덕규베이커리",베이커리,35.1851191,128.8299232,https://map.naver.com/p/entry/place/1319704253
제과·제빵,김덕규,2019,김덕규베이커리 삼정점,경남,"경상남도 김해시 활천로 32, 호성상가 APT 1층)",베이커리,35.2307017,128.8938844,https://map.naver.com/p/entry/place/15171502
제과·제빵,이석원,2024,"농부의 주말빵집, 농부의 경주명과",경북,경상북도 경주시 탑리4길 6,베이커리,35.8202424,129.2112237,https://map.naver.com/p/entry/place/2067804682
자동차정비,조행득,2018,이동점블루핸즈,경북,경상북도 포항시 남구 이동로20,자동차 정비,36.0320675,129.3376427,https://map.naver.com/p/entry/place/1624493827
제과·제빵,마옥천,2023,㈜베비에르 봉선점,광주,광주광역시 남구 봉선2로 12 (봉선동 627,베이커리,35.1253306,126.9076239,https://map.naver.com/p/entry/place/33256111
제과·제빵,마옥천,2023,㈜베비에르 롯데백화점 광주점,광주,"광주광역시 동구 독립로 268 (대인동 7-1, 롯데백화점 B1층)",베이커리,35.1544425,126.9121494,https://map.naver.com/p/entry/place/38712366
제과·제빵,마옥천,2023,㈜베비에르 문화전당점,광주,"광주광역시 동구 서석로 36, 1,2층 (광산동 81",베이커리,35.1461689,126.9175335,https://map.naver.com/p/entry/place/1478002793
